item_id,price,quantity,sold,title,totalSoldQuantity,url,img,titleUnderIconList
601283805039,59.00,0,12824,女装 宽罗纹休闲长衫(长袖) 426082 优衣库UNIQLO,17505,//detail.m.tmall.com/item.htm?id=601283805039,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN014OWhI61ewH4k3o486_!!0-item_pic.jpg,[]
598103290701,249.00,0,4544,女装 高腰灯芯绒宽腿直筒裤 420343 优衣库UNIQLO,8873,//detail.m.tmall.com/item.htm?id=598103290701,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01DkT7tn1ewH4clESU8_!!0-item_pic.jpg,[]
597361143088,249.00,0,7938,女装 EZY九分裤 420345 优衣库UNIQLO,20220,//detail.m.tmall.com/item.htm?id=597361143088,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01zDFsCD1ewH4OHt2KN_!!0-item_pic.jpg,[]
601564737055,399.00,0,5726,【设计师合作款】女装 仿羊羔绒摇粒绒短大衣 420715 优衣库,6506,//detail.m.tmall.com/item.htm?id=601564737055,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN016DJLK61ewH51FYN2o_!!0-item_pic.jpg,[]
596036539562,79.00,0,13493,女装 罗纹棉质圆领T恤(长袖) 418225 优衣库UNIQLO,20562,//detail.m.tmall.com/item.htm?id=596036539562,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01axYqfS1ewH4eVAG9J_!!0-item_pic.jpg,[]
598655580454,299.00,0,5894,女装 3D柔软羊仔毛茧形针织开衫(长袖) 420305 优衣库UNIQLO,9867,//detail.m.tmall.com/item.htm?id=598655580454,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN016f2PAS1ewH4MzMY3a_!!0-item_pic.jpg,[]
599081322066,199.00,0,7335,女装 灯芯绒宽腿裤 420689 优衣库UNIQLO,10016,//detail.m.tmall.com/item.htm?id=599081322066,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01TGwd1e1ewH4fgyLuV_!!0-item_pic.jpg,[]
596014141296,149.00,0,7167,女装 休闲连帽运动衫(长袖) 418236 优衣库UNIQLO,19621,//detail.m.tmall.com/item.htm?id=596014141296,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01dkxQyP1ewH4MT5dv3_!!0-item_pic.jpg,[]
600555089433,99.00,0,8673,女装 花式立领上衣(7分袖) 418395 优衣库UNIQLO,16347,//detail.m.tmall.com/item.htm?id=600555089433,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN010XQCZk1ewH4SNJeuY_!!0-item_pic.jpg,[]
600757590596,79.00,0,17416,女装 全棉高领打褶上衣(长袖) 422610 优衣库UNIQLO,31120,//detail.m.tmall.com/item.htm?id=600757590596,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01rZZ67z1ewH4Udv8x9_!!0-item_pic.jpg,[]
